Name on IMDb,Birth Name 
José Salcedo,José Salcedo Palomeque
Alan C. Blomquist, Not Found
Robert Patrick,Robert Hammond Patrick Jr.
Phyllis Huffman,Phyllis M. Grennan
Lucas Till,Lucas Daniel Till
Phedon Papamichael,Phedon Papamichael Jr.
Michael McCusker, Not Found
Michael Peña, Not Found
Paul Haggis,Paul Edward Haggis
Albert S. Ruddy, Not Found
Tom Stern,Thomas Evans Stern
Deborah Hopper, Not Found
Brian Tufano,Brian Richard Tufano
Jina Jay, Not Found
Kathleen Kennedy, Not Found
Colin Wilson, Not Found
John Williams,John Towner Williams
Janusz Kaminski,Janusz Zygmunt Kaminski
Michael Kahn, Not Found
Terri Taylor, Not Found
Debra Zane, Not Found
Rick Carter, Not Found
Joanna Johnston, Not Found
Tom Cruise,Thomas Cruise Mapother IV
Dakota Fanning,Hannah Dakota Fanning
Miranda Otto, Not Found
Tim Robbins,Timothy Francis Robbins
David Koepp, Not Found
Tim Burton,Timothy Walter Burton
Larry Franco,Larry Joseph Franco
Jack Nicholson,John Joseph Nicholson
Glenn Close,Glenda Veronica Close
Annette Bening,Annette Francine Bening
Pierce Brosnan,Pierce Brendan Brosnan
Danny DeVito,Daniel Michael DeVito Jr.
Rod Steiger,Rodney Stephan Steiger
Natalie Portman,Natalie Hershlag
Christopher Nolan,Christopher Edward Nolan
Jonathan Nolan, Not Found
Sylvia Sidney,Sophia Kosow
Guy Pearce,Guy Edward Pearce
Carrie-Anne Moss, Not Found
Danny Elfman,Daniel Robert Elfman
Joe Pantoliano,Joseph Peter Pantoliano
Mark Boone Junior,Mark Heidrich
Russ Fega, Not Found
Jorja Fox,Jorja-An Fox
Stephen Tobolowsky,Stephen Harold Tobolowsky
Harriet Sansom Harris,Harriet Harris
Thomas Lennon,Thomas Patrick Lennon
Callum Keith Rennie, Not Found
Chris Lebenzon,Christopher John Lebenzon
Kimberly Campbell, Not Found
Marianne Muellerleile, Not Found
Larry Holden,Laurence Henry Holden
Matthew Barry, Not Found
Jeanne McCarthy,Jeanine McCarthy
Victoria Thomas, Not Found
Wynn Thomas, Not Found
Jennifer Todd, Not Found
Suzanne Todd, Not Found
Elaine Dysinger, Not Found
John Dexter, Not Found
Aaron Ryder, Not Found
Nancy Haigh, Not Found
Emma Thomas, Not Found
Colleen Atwood, Not Found
Wally Pfister,Walter Pfister
Patti Podesta, Not Found
John Papsidera, Not Found
Dody Dorn,Dody Jane Dorn
Richard Linklater,Richard Stuart Linklater
Kim Krizan,Kim Arnette Krizan
Ethan Hawke,Ethan Green Hawke
Lee Daniel,Lee Cavender Daniel
Ridley Scott, Not Found
Sandra Adair,Sandra B. Estrin
Michael Deeley, Not Found
Sheri Galloway, Not Found
Hampton Fancher,Hampton Lansden Fancher III
Philip K. Dick,Philip Kindred Dick
Rutger Hauer,Rutger Oelsen Hauer
Sean Young,Mary Sean Young
Edward James Olmos, Not Found
Daryl Hannah,Daryl Christine Hannah
William Sanderson, Not Found
Brion James,Brion Howard James
Joe Turkel, Not Found
Joanna Cassidy,Joanna Virginia Caskey
Jordan Cronenweth,Jordan Scott Cronenweth
Vangelis,Evangelos Odysseus Papathanassiou
Lawrence G. Paull, Not Found
Jane Feinberg, Not Found
Mike Fenton,Ronald Michael Fenton
Marci Liroff, Not Found
Marsha Nakashima, Not Found
David L. Snyder, Not Found
Linda DeScenna, Not Found
Leslie McCarthy-Frankenheimer,Leslie McCarthy
Michael Kaplan, Not Found
Charles Knode, Not Found
Hayao Miyazaki, Not Found
Sumi Shimamoto, Not Found
Mahito Tsujimura, Not Found
Hisako Kyôda, Not Found
Gorô Naya, Not Found
Ichirô Nagai, Not Found
Kôhei Miyauchi,Takayuki Miyauchi
Jôji Yanami,Shigemitsu Shirato
Minoru Yada, Not Found
Rihoko Yoshida, Not Found
Yôji Matsuda, Not Found
Mîna Tominaga,Yoshiko Tominaga
Yoshiko Sakakibara, Not Found
Iemasa Kayumi, Not Found
Tetsuo Mizutori, Not Found
Isao Takahata, Not Found
Ned Lott,Edward Lott
Naoki Kaneko, Not Found
Tomoko Kida, Not Found
Shigeharu Shiba, Not Found
Joe Hisaishi,Mamoru Fujisawa
Michael Mann,Michael Kenneth Mann
Philip Kaufman, Not Found
Vernon Dobtcheff, Not Found
Karen Allen,Karen Jane Allen
Paul Freeman, Not Found
Ronald Lacey, Not Found
John Rhys-Davies, Not Found
Denholm Elliott,Denholm Mitchell Elliott
Alfred Molina, Not Found
Wolf Kahler, Not Found
Anthony Higgins, Not Found
Vic Tablian,Varoujan Aintablian
Don Fellows,Donald Fellows
William Hootkins,William Michael Hootkins
Frank Marshall,Frank Wilton Marshall
Howard G. Kazanjian,Howard Garabed Kazanjian
Douglas Slocombe, Not Found
Mary Selway, Not Found
Norman Reynolds,Norman William Reynolds
Ben Burtt, Not Found
Richard L. Anderson, Not Found
Bernd Eichinger, Not Found
Moritz Bleibtreu, Not Found
Franka Potente, Not Found
Uwe Ochsenknecht,Uwe Adam Ochsenknecht
Willard Huyck,Willard Miller Huyck Jr.
Gloria Katz,Gloria Pearl Katz
Kate Capshaw,Kathleen Sue Nail
Jonathan Ke Quan,Ke Huy-Quan
Amrish Puri,Amrish Lal Puri
Roshan Seth, Not Found
Philip Stone,Philip Stones
Roy Chiao, Not Found
David Yip,David Nicholas Yip
Chua Kah Joo, Not Found
Rex Ngui, Not Found
Philip Tan, Not Found
Dan Aykroyd,Daniel Edward Aykroyd
Robert Watts, Not Found
Elliot Scott,Elliot Edward C. Scott
Emile Ardolino, Not Found
Eleanor Bergstein, Not Found
Linda Gottlieb, Not Found
John Morris,John Leonard Morris
Jeffrey Jur, Not Found
Peter C. Frank, Not Found
Jennifer Grey, Not Found
Patrick Swayze,Patrick Wayne Swayze
Cynthia Rhodes, Not Found
Jerry Orbach,Jerome Bernard Orbach
Jack Weston,Jack Weinstein
Jane Brucker,Jane Rachel Brucker
Kelly Bishop,Carole Bishop
Lonny Price, Not Found
Max Cantor, Not Found
Alvin Myerovich, Not Found
Paula Trueman, Not Found
Arthur F. Repola, Not Found
Menno Meyjes, Not Found
Jeffrey Boam, Not Found
Sean Connery,Thomas Sean Connery
Alison Doody, Not Found
Julian Glover,Julian Wyatt Glover
River Phoenix,River Jude Bottom
Michael Byrne, Not Found
Kevork Malikyan, Not Found
Robert Eddison,Robert Leadam Eddison
Richard Young, Not Found
Alexei Sayle,Alexei David Sayle
Alex Hyde-White,Alexander Punch Hyde-White
Paul Maxwell, Not Found
Isla Blair, Not Found
Maggie Cartier, Not Found
Valorie Massalas, Not Found
Judy Taylor, Not Found
Martin Brest, Not Found
Jerry Bruckheimer,Jerome Leon Bruckheimer
Don Simpson,Donald Clarence Simpson
Danilo Bach, Not Found
Daniel Petrie Jr., Not Found
Eddie Murphy,Edward Regan Murphy
Judge Reinhold,Edward Ernest Reinhold Jr.
John Ashton,John David Ashton
Lisa Eilbacher,Lisa Marie Eilbacher
Ronny Cox,Daniel Ronald Cox
Paul Reiser, Not Found
Steven Berkoff,Leslie Steven Berks
Jonathan Banks,Jonathan Ray Banks
James Russo,James Vincent Russo
Stephen Elliott,Elliott Pershing Stitzel
Gilbert R. Hill,Gilbert Roland Hill
Art Kimbro,Arthur L. Kimbro
Joel Bailey,Joel Stephan Bailey
Michael Champion,Michael Campbell
Bruce Surtees,Bruce Mohr Powell Surtees
Luis Buñuel,Luis Buñuel Portolés
Angelo P. Graham, Not Found
James J. Murakami, Not Found
John M. Dwyer, Not Found
Tom Bronson, Not Found
Harold Faltermeyer,Harold Faltermeier
Arthur Coburn, Not Found
Edward Norton,Edward Harrison Norton
Edward Furlong,Edward Walter Furlong
Beverly D'Angelo,Beverly Heather D'Angelo
Stacy Keach,Walter Stacy Keach Jr.
Elliott Gould,Elliott Goldstein
William Russ,William Hardy Russ IV
Otto Preminger,Otto Ludwig Preminger
Wendell Mayes, Not Found
John D. Voelker,John Donaldson Voelker
Gerald B. Greenberg, Not Found
Alan Heim, Not Found
James Stewart,James Maitland Stewart
Lee Remick,Lee Ann Remick
Ben Gazzara,Biagio Anthony Gazzara
Arthur O'Connell, Not Found
Duke Ellington,Edward Kennedy Ellington
Eve Arden,Eunice Quedens
Kathryn Grant,Olive Kathryn Grandstaff
George C. Scott,George Campbell Scott
Orson Bean,Dallas Frederick Burrows
Michael Bay,Michael Benjamin Bay
Russ Brown,Russell Brown
Gale Anne Hurd, Not Found
Sam Leavitt,Samuel Leavitt
Louis R. Loeffler,Louis Robert Loeffler
Boris Leven, Not Found
Jonathan Hensleigh,Jonathan Blair Hensleigh
Richard Carruth, Not Found
Jack Solomon, Not Found
Ben Affleck,Benjamin Géza Affleck-Boldt
Irving Rosenberg, Not Found
Liv Tyler,Liv Rundgren
Will Patton,William Rankin Patton
Steve Buscemi,Steven Vincent Buscemi
James Almond, Not Found
William Fichtner,William Edward Fichtner
John Schwartzman,John Marc Schwartzman
Tony Scott,Anthony David Leighton Scott
Trevor Rabin, Not Found
Michael White, Not Found
Bonnie Timmermann, Not Found
Christopher Boyes, Not Found
Lawrence A. Hubbs, Not Found
Jeffrey L. Kimball,Jeffrey Lane Kimball
Rick Simpson, Not Found
Magali Guidasci, Not Found
Michael Tronick, Not Found
Billy Weber, Not Found
Steve Grumette, Not Found
Robert D. Wachs, Not Found
Larry Ferguson, Not Found
Warren Skaaren, Not Found
David Giler,David Kevin Giler
Jürgen Prochnow, Not Found
Brigitte Nielsen,Gitte Nielsen
Allen Garfield,Allen Goorwitz
Dean Stockwell,Robert Dean Stockwell
Paul Guilfoyle,Paul Vincent Guilfoyle
Ola Ray, Not Found
Rebecca Ferratti,Rebecca Michelle Ferratti
David Franzoni,David Harold Franzoni
Branko Lustig, Not Found
Douglas Wick, Not Found
John Logan,John David Logan
William Nicholson,William Benedict Nicholson
Russell Crowe,Russell Ira Crowe
Connie Nielsen,Connie Inge-Lise Nielsen
Oliver Reed,Robert Oliver Reed
Derek Jacobi,Derek George Jacobi
Djimon Hounsou,Djimon Gaston Hounsou
David Schofield, Not Found
John Shrapnel, Not Found
Tomas Arana,Thomas Clifford Arana
Ralf Moeller,Ralf Rudolf Möller
John Mathieson, Not Found
Arthur Max, Not Found
Crispian Sallis,Timothy Crispian Sallis
Janty Yates, Not Found
Hans Zimmer,Hans Florian Zimmer
Lisa Gerrard, Not Found
Louis DiGiaimo, Not Found
Pietro Scalia, Not Found
Colin Coull, Not Found
Penélope Cruz,Penélope Cruz Sánchez
John Murphy,John Paul Murphy
Celestia Fox,Celestia Sporborg
Humberto Cornejo, Not Found
Jason Flemyng,Jason Iain Flemyng
Dexter Fletcher, Not Found
Vinnie Jones,Vincent Peter Jones
Sting,Gordon Matthew Thomas Sumner
P.H. Moriarty,Patrick H. Moriarty
Éric Serra, Not Found
Thierry Arbogast, Not Found
Sylvie Landra, Not Found
Todd Thaler, Not Found
Dan Weil, Not Found
Gerard Drolon, Not Found
Françoise Benoît-Fresco, Not Found
Jean Reno,Juan Moreno y Herrera Jiménez
Danny Aiello,Daniel Louis Aiello Jr.
Peter Appel, Not Found
Willi One Blood,William Harbour Jr.
Don Creech, Not Found
Keith A. Glascoe, Not Found
Randolph Scott,George Randolph Scott
Michael Badalucco, Not Found
Mads Mikkelsen,Mads Dittman Mikkelsen
Martin Scorsese,Martin Charles Scorsese
Paul Schrader,Paul Joseph Schrader
Cybill Shepherd,Cybill Lynne Shepherd
Harvey Keitel, Not Found
Jodie Foster,Alicia Christian Foster
Peter Boyle,Peter Lawrence Boyle Jr.
Leonard Harris,Leonard Jerome Harris
Diahnne Abbott, Not Found
Frank Adu, Not Found
Gino Ardito, Not Found
Michael Chapman, Not Found
Bernard Herrmann,Max Herman
Juliet Taylor,Juliet Sewell Taylor
Tom Rolf, Not Found
Melvin Shapiro, Not Found
Charles Rosen, Not Found
Herbert F. Mulligan, Not Found
Ruth Morley,Ruth Miriam Birnholz
Rick Alexander, Not Found
Gordon Davidson,Gordon Robert Davidson
James Fritch, Not Found
David M. Horton, Not Found
Bob Gale,Michael Robert Gale
Neil Canton,Neil Matthew Canton
Dean Cundey,Dean Raymond Cundey
Harry Keramidas,Harold Thomas Keramidas
Christopher Lloyd,Christopher Allen Lloyd
Lea Thompson,Lea Katherine Thompson
Crispin Glover,Crispin Hellion Glover
