Name on IMDb,Birth Name 
Erland Josephson, Not Found
Claus Holm,Helmut Gerhard Ozygus
Barry Brown,Donald Barry Brown
Reinhard Kolldehoff, Not Found
Raoul Delfosse, Not Found
Cher,Cherilyn Sarkisian
Renié,Irene Brouillet
Hugh Beaumont,Eugene Hugh Beaumont
Ernest Hemingway,Ernest Miller Hemingway
Antonio Triana, Not Found
Ava Norring, Not Found
Vicente Gómez, Not Found
Peter Viertel, Not Found
Frank McCarthy, Not Found
Dominique Blanchar, Not Found
O.E. Hasse,Otto Eduard Hasse
Helene Thimig,Helene Ottilie Thimig
Arthur Blake,Arthur Blakely Clark
Herbert Berghof, Not Found
Heinz Stamm, Not Found
Steve Bartek, Not Found
Donald Houston,Donald Daniel Houston
Peter Musgrave,Peter Rex Musgrave
Katrine Boorman, Not Found
William Hiney, Not Found
Mario Iscovich, Not Found
Ellen H. Schwartz, Not Found
Maurice Barrier, Not Found
Isabelle Sadoyan, Not Found
Roger Planchon, Not Found
Francis Veber, Not Found
Marcello Danon, Not Found
Ambra Danon, Not Found
Carmen Scarpitta,Carmen Beth Scarpitta
Benny Luke, Not Found
Gilles Pelletier, Not Found
Phillip Johnston, Not Found
Tre Smith, Not Found
Ken Jenkins, Not Found
David Krumholtz, Not Found
Alvaro Vitali, Not Found
Dirk Salomon, Not Found
Douglas Gamley, Not Found
Maxence Mailfort, Not Found
Madeleine Damien,Rachel Marguerite Espir
David Baxt, Not Found
Johanna Day, Not Found
Victor Miller, Not Found
Barry Abrams, Not Found
Virginia Field, Not Found
Jacob Grimm,Jacob Ludwig Carl Grimm
Manuel De Sica, Not Found
Stuart Whitman,Stuart Maxwell Whitman
Andrew Plain,Andrew Keith Plain
Roman Coppola, Not Found
Thomas Gottschalk,Thomas Johannes Gottschalk
Peter Pedrero, Not Found
Gilberte Géniat,Gilberte Martel de la Chesnaye
Moustache,François-Alexandre Galipedes
Christian Marquand, Not Found
Serge Marquand, Not Found
Richard Baratta, Not Found
Dominique Aury,Anne Cécile Desclos
Gérard Lorin, Not Found
Francine Pierre, Not Found
Tan Giudicelli, Not Found
Enzi Fuchs, Not Found
Stephen Murray,Stephen Umfreville H. Murray
Rosalie Crutchley,Rosalie Sylvia Crutchley
Freda Jackson,Freda Maud Jackson
Claudio Brook,Claude Sydney Brook Marnat
Henry James, Not Found
Eileen Brennan,Verla Eileen Regina Brennen
Mario Pisu, Not Found
Jenny Runacre, Not Found
Vladek Sheybal,Wladyslaw Sheybal
Rex Trailer, Not Found
William Alwyn,William Alwyn Smith
Muir Mathieson,James Muir Mathieson
Skip Ward,Rufus King Ward IV
Julien Duvivier,Julien Henri Nicolas Duvivier
Henri Jeanson, Not Found
James Villiers,James Michael Hyde Villiers
Geneviève Grad,Geneviève Gabrielle Grad
Daniel Cauchy, Not Found
Henri Virlojeux, Not Found
Abel Ferrara, Not Found
Joe Delia, Not Found
Will Sasso,William Sasso
Jacques Vilfrid, Not Found
Marc Fossard, Not Found
Raymond Lefevre, Not Found
Michel Modo,Michel Henri Louis Goi
Patrice Laffont, Not Found
France Rumilly,Marie Rumilly
Jean-Pierre Bertrand, Not Found
Maria Pacôme,Simonne Pacôme
Nicole Vervil,Thérèse Le Carpentier
Alan Scott, Not Found
Yves Vincent, Not Found
Giovanni Fusco, Not Found
Enzo Fiermonte,Vincenzo Fiermonte
Raoul Billerey,Emile Gaston Maurice Billerey
Jean Tissier, Not Found
Paulette Frantz, Not Found
Annie Hardinge, Not Found
Charles Spaak, Not Found
Nick Jameson, Not Found
Jean-Pierre Bernard,Jean-Pierre Guive Brodkorb
Lucia Bosé,Lucia Borlani
Joachim Bernhard, Not Found
Didier Tarot, Not Found
Yves Barsacq, Not Found
Amy Ryan,Amy Beth Dziewiontkowski
Edi Gathegi,Edi Mue Gathegi
Geoffrey Sumner,Geoffrey Edmund Sumner
Robert Dorning,Robert John Dorning
Trevor Delaney, Not Found
Sylvia Kuumba Williams, Not Found
Stanley J. Reyes, Not Found
Tom Felleghy,Tamás Fellegi
Jacques Rispal, Not Found
Pierre Leproux,Pierre Marie Antoine Leproux
Pierre Grasset, Not Found
Marc Mazza,Marc Mazzacurati
Sergio Sollima, Not Found
Tamara Taylor, Not Found
Giorgio Bassani, Not Found
Lino Capolicchio, Not Found
Barbara Pilavin, Not Found
Katina Morisani, Not Found
Félix Marten, Not Found
Olga Georges-Picot, Not Found
Michel Vadet, Not Found
Nick Cave,Nicholas Edward Cave
Mari Blanchard,Mary E. Blanchard
Jennifer Jones,Phylis Lee Isley
Klaus Werner, Not Found
Claus Kottmann, Not Found
Howard Keel,Harry Clifford Keel
Dolores Gray, Not Found
Vic Damone,Vito Rocco Farinola
Massimo Quaglia, Not Found
Jean-Pascal Beintus, Not Found
Dimitri Andreas, Not Found
Steve Carter, Not Found
Neil Finnighan, Not Found
Marcel Marceau,Marcel Mangel
Kate Reid,Daphne Katherine Reid
Ellen Bahl, Not Found
Raoul Guylad, Not Found
Henry Levin, Not Found
Hugh O'Brian,Hugh Charles Krampe
Daliah Lavi,Daliah Levenbuch
Fabian,Fabiano Anthony Forte
Alexander Singer, Not Found
Marguerite Roberts,Marguerite A. Roberts
Jerry Bresler,Jerome S. Bresler
Stefanie Powers,Stefanie Zofya Paul
Larry Buchanan,Marcus Larry Seale Jr.
Adam Roarke,Richard Jordan Gerler
Camilla Carr, Not Found
Desmond Dhooge,Desmond Delmer Dhooge
Peter Collinson,Peter Kenneth Collinson
Paul L. Smith,Paul Lawrence Smith
Louis Hayward,Louis Charles Hayward
June Duprez,June Ada Rose Duprez
Queenie Leonard,Pearl Walker
Harry Thurston, Not Found
Len Deighton,Leonard Cyril Deighton
Shirley Russell,Shirley Kingdon
Milo Sperber, Not Found
Val Guest,Valmond Maurice Grossmann
Jean Topart, Not Found
Jacques Frantz, Not Found
François Audouy, Not Found
Ivy Thayer, Not Found
Ken Miller, Not Found
Barrie Ingham,Barrie Stanton Ingham
Tony Britton,Anthony Edward Lowry Britton
Denis Carey, Not Found
Maurice Denham,William Maurice Denham
Jean Martin, Not Found
Donald Sinden,Donald Alfred Sinden
Eric Porter,Eric Richard Porter
Nicolas Vogel, Not Found
Adrien Cayla-Legrand, Not Found
Nicole Desailly, Not Found
Stephen Evans, Not Found
Sidney Lumet,Sidney Arthur Lumet
Tim McIntire,Timothy John McIntire
Susanne Benton, Not Found
Alvy Moore,Jack Alvin Moore
Matt Frewer, Not Found
David Munrow, Not Found
Jessica Swift, Not Found
Gerry Fisher,Gerald Fisher
Inger Stevens,Inger Stensland
Terry Ann Ross,Terry Ann Rossworn
Harold J. Marzorati, Not Found
Twiggy,Leslie Hornby
Brian 'Buzz' Buzzelli, Not Found
James Palumbo, Not Found
Robert Fernandez, Not Found
Stanley Myers, Not Found
Michael O'Sullivan,Michael Patrick O'Sullivan
Richard Gates,Richard Walter Severance Gates
Leonard Freeman, Not Found
Ralph Michael,Ralph Champion Shotter
Patience Collier,Renee Ritcher
Ave Ninchi,Ave Maria Ninchi
Susan Clark,Nora Golding
Frank Tarloff, Not Found
Lucille Ball,Lucille Désirée Ball
Polly Bergen,Nellie Paulina Burgin
Art Carney,Arthur William Matthew Carney
Phil Silvers,Philip Silver
Henry Hull,Henry Watterson Hull
Lorne Greene,Lyon Chaim Green
William H. Clothier, Not Found
James Best,Jewel Franklin Guy
Jacqueline Scott,Jacqueline Sue Scott
Sorrell Booke, Not Found
Marc Connelly,Marcus Cook Connelly
House Jameson,House Baker Jameson
Russell S. Hughes,Russell Sheldon Hughes
Robert Preston,Robert Preston Meservey
Russell Collins, Not Found
Tony Randall,Arthur Leonard Rosenberg
Clint Walker,Norman Eugene Walker
Patricia Barry,Patricia Allen White
Dave Willock,David Winchester Willock
Ron Ely,Ronald Pierce Ely
Don Haggerty,Donald Francis Haggerty
Kevin Hooks, Not Found
Jacques Deray,Jacques Desrayaud
Jean-Emmanuel Conil, Not Found
Mundell Lowe,James Mundell Lowe
Arthur E. Arling,Arthur Edward Arling
Julia Meade,Julia Meade Kunze
Dan Laustsen, Not Found
Tim Guinee,Timothy Sanders Guinee
Megumi Hayashibara, Not Found
Masashi Ando, Not Found
Don Bluth,Donald Virgil Bluth
Tony Geiss,Nicholas Anthony Geiss
Dan Molina,Dan Molina
Erica Yohn, Not Found
Will Ryan,William Frank Ryan
Bill Lenny,Reginald Francis Lenny
Michael Costigan, Not Found
Don Dubbins,Donald Gene Dubbins
Joyce Jameson,Joyce Beverly Kingsley
Aaron Zigman, Not Found
Archie R. Dalzell,Archible Ribble Dalzell
Michael Conrad, Not Found
Jacques R. Marquette,Jack Marquette
Dean Jones,Dean Carroll Jones
Kaye Stevens,Catherine Louise Stephens
Earle Hagen,Earle Harry Hagen
Dyan Cannon,Samile Diane Friesen
Colleen Brennan, Not Found
Catherine Bach,Catherine Bachman
Barry Sullivan,Patrick Barry Sullivan
Gary Chang, Not Found
Mel Goldberg, Not Found
Leonard J. South, Not Found
Yô Ôizumi, Not Found
Noboru Yoshida, Not Found
Warren Douglas, Not Found
Leith Stevens, Not Found
Luis Guzmán, Not Found
Max Linder, Not Found
Alexander Knox, Not Found
Jean Aurenche,Jean-Marie Louis Charles Philippe Aurenche
Robert Dorfmann, Not Found
Robert Juillard, Not Found
Narciso Yepes, Not Found
Amédée,Philippe de Cherisey
Suzanne Courtal,Suzanne Couteau
Lucien Hubert,Lucien Martial Désiré Lajarthe
Pierre Merovée, Not Found
Denise Péronne, Not Found
John Ortiz, Not Found
Xavier Grobet, Not Found
Guillermo Rosas, Not Found
Stephen Young,Stephen Levy
Raimund Harmstorf, Not Found
Hannes Staudinger,Hans Staudinger
Harry Lauter,Herman Arthur Lauter
Paul Cayatte, Not Found
Paul Laffargue, Not Found
Christian de Tillière, Not Found
Jeffrey Chernov, Not Found
Mike Henry,Michael D. Henry
Rafer Johnson, Not Found
Irving Lippman,Irving Isadore Lippman
Eileen Heckart,Anna Eileen Stark
Kurt Kasznar,Kurt Serwicher
Kristine DeBell, Not Found
Hayden Rorke,William Henry Rorke
John Creamer, Not Found
Chad Stahelski,Charles F. Stahelski
Malcolm Sinclair, Not Found
David Leitch, Not Found
Stuart Clark,Stuart John Clark
Rob Inch,Robert Alan Inch
Wolfgang Lindner, Not Found
Rocky Taylor,Laurie Taylor
Andreas Tietz, Not Found
Rainer Werner, Not Found
Harvey Harrison, Not Found
Stephen Bream, Not Found
Stephan O. Gessler, Not Found
Roxy Konrad, Not Found
David Worley, Not Found
David Mackie, Not Found
David Stephenson, Not Found
Gary Dodkin, Not Found
Bronwyn Preston, Not Found
David Appleby, Not Found
Jeremy Woodhead, Not Found
Glenn Freemantle, Not Found
Tom Sayers, Not Found
Gillian Dodders, Not Found
Lee Herrick, Not Found
Hugo Adams, Not Found
John Hayward, Not Found
Richard Pryke, Not Found
Peter Burgis, Not Found
Benjamin Wallfisch, Not Found
Mike Richardson,Michael Myron Richardson
Paul D. Austerberry, Not Found
Damian Anderson, Not Found
Joe Swanberg,Joseph Duane Swanberg
Steve Carlson, Not Found
Virginia North, Not Found
Barbara Windsor,Barbara-Ann Deeks
Bernard Cribbins, Not Found
Judith Furse, Not Found
Joan Sims,Irene Joan Marion Sims
Sidney James,Solomon Joel Cohen
Maria Schell,Anna Maria Margarete Schell
Hattie Jacques,Josephine Edwina Jacques
Peter Butterworth,Peter William Shorrocks Butterworth
Brian Oulton, Not Found
Victor Maddern,Victor Jack Maddern
Elsie Randolph,Elsie Florence Killick
René Génin, Not Found
Dany Jacquet,Danièle Jacquet
Claude Cerval,André Marcel Gabriel Leloup
Andrew Keegan,Andrew Keegan Heying
Eva Ebner,Eva-Ruth Ebner
Clemens Tütsch, Not Found
Jean d'Eaubonne,Jean Piston d'Eaubonne
Brent White, Not Found
Chris L. Spellman, Not Found
Jason Segel,Jason Jordan Segel
Martin Starr, Not Found
Kristen Wiig,Kristen Carroll Wiig
Luigi Casellato, Not Found
Carole André,Carole André Smith
Laura Gemser,Laurette Marcia Gemser
Jules V. Levy,Jules Victor Levy
Ross Brown, Not Found
Tracy Keenan Wynn, Not Found
Joyce Selznick,Joyce Gloria Selznick
James Dowell Vance, Not Found
Eda Warren, Not Found
David Merrick,David Margoulis
Charles Rosher Jr.,Charles Delacey Rosher
Ugo Bologna, Not Found
Edward Stewart, Not Found
Oscar Rodriguez, Not Found
Forrest Tucker,Forrest Meredith Tucker
Tom Bosley,Thomas Edward Bosley
Edward Albert,Edward Laurence Heimberger
Jack O'Halloran, Not Found
Cyd Charisse,Tula Ellice Finklea
Anne Lockhart,Anne Kathleen Maloney
John Astin,John Allen Astin
John Ericson,Joseph Meibes
Jessica Walter, Not Found
Yvonne De Carlo,Margaret Yvonne Middleton
Paul Benedict, Not Found
Tess Harper,Tessie Jean Washam
Dick Sargent,Richard Stanford Cox
Sheree North,Dawn Shirley Crang
David Knell, Not Found
June Havoc,Ellen Evangeline Hovick
Art Hindle, Not Found
Jennifer Salt, Not Found
Don Calfa,Donald George Calfa
Pamela Bellwood,Pamela King
John Beck, Not Found
Gregory Walcott,Bernard Wasdon Mattox
Steve Kanaly,Steven Francis Kanaly
Harrison Zanuck,Harrison Richard Zanuck
Nathanael West,Nathan Weinstein
Geraldine Page,Geraldine Sue Page
Lelia Goldoni, Not Found
Marian Seldes,Marian Hall Seldes
Alex O'Loughlin,Alexander O'Lachlan
David Fabrizio, Not Found
Michael Dennison, Not Found
Paul Schwake, Not Found
Walter von Huene, Not Found
Michael Hartson, Not Found
Michael Preece, Not Found
Ken Kercheval,Kenneth Marine Kercheval
Omid Djalili, Not Found
Sadie Frost,Sadie Liza Vaughan
Hester Hargett, Not Found
Robert Gordon, Not Found
Bob Barbash,Murray Barbash
Anthony Carras, Not Found
Herbert Smith, Not Found
Stuart Margolin, Not Found
Jacques Mapes, Not Found
David Rose, Not Found
Robert B. Hauser, Not Found
Kim Swados, Not Found
Monja Danischewsky,Monja John Danischewsky
Candus Churchill, Not Found
Andrew Airlie, Not Found
Maureen O'Sullivan,Maureen Paula O'Sullivan
Christian Clemenson, Not Found
Paul Burns, Not Found
Andrew Bergman, Not Found
Mia Goldman, Not Found
Kenneth Choi, Not Found
Stephen St. John, Not Found
Andrew Max Cahn, Not Found
Lidia Quaranta,Lidia Gemma Mattia Quaranta
Gina Marangoni, Not Found
Dante Testa, Not Found
Umberto Mozzato, Not Found
Bartolomeo Pagano, Not Found
Giovanni Pastrone, Not Found
Manlio Mazza, Not Found
Giovanni Tomatis, Not Found
Carlo Franzeri, Not Found
Segundo de Chomón, Not Found
Natale Chiusano, Not Found
Augusto Battagliotti, Not Found
Eugenio Bava, Not Found
Claude Jaeger,Claude Paul Jaeger
René Renoux, Not Found
Libero Solaroli, Not Found
Domenico Scala, Not Found
Giuseppe Rosati, Not Found
Georges Bizet,Alexandre-César-Léopold Bizet
Mario Alicata, Not Found
Luigi Bartolini, Not Found
Oreste Biancoli, Not Found
Jeff Olan, Not Found
Tseng Chang, Not Found
Wendy Weidman, Not Found
Uschi Digard,Ursula Bernell
Aubrey Wisberg, Not Found
Sharon Hill, Not Found
William E. Snyder, Not Found
Walter E. Keller, Not Found
Kitten Natividad,Francesca Isabel Natividad
Peter Stone,Peter Hess Stone
Marc Maurette, Not Found
Dominique Minot, Not Found
Paul Bonifas, Not Found
Thomas Chelimsky,Tom Chelimsky
Jerry Paris,William Gerald Paris
Carole Cook,Mildred Frances Cook
Brian Davies, Not Found
Tom Stewart, Not Found
Patricia Carr,Patricia Ann Wilson
Ravil Isyanov, Not Found
Frank Loesser,Frank Henry Loesser
Vivian Blaine,Vivian Stapleton
Johnny Silver,John Silver
Sheldon Leonard,Leonard Sheldon Bershad
Millard Kaufman, Not Found
Edmund Grainger,James Edmund Grainger
Hans Peters, Not Found
Brian Donlevy,Waldo Brian Donlevy
Robert Bray,Robert Eugene Bray
Elio Bartolini, Not Found
Monica Vitti,Maria Luisa Ceciarelli
Esmeralda Ruspoli,Smeralda Giovanna Amelia Palma Maria dei Principi Ruspoli
Manu Bennett,Jonathan Manu Bennett
Nathaniel Lees, Not Found
Joel Tobeck,Joel Bryan Tobeck
Eric Rogers,Eric Gaukroger
Lionel Couch,Lionel Ernest Couch
Jack Causey, Not Found
Ralph Baum, Not Found
Archie Ludski,Arnold Adolph Ludski
Robert Stephens,Robert Graham Stephens
Robert Flemyng, Not Found
Sylvester Groth, Not Found
Tamara Toumanova,Tamara Vladimirovna Tumanova
Gordon Jackson,Gordon Cameron Jackson
Diane Grayson,Diane Guinibert
Jane Carr, Not Found
Shirley Steedman, Not Found
Ned Dowd, Not Found
Ian Fox, Not Found
Greg P. Russell, Not Found
Kami Asgar, Not Found
Rick Young, Not Found
Sidney Franklin,Sidney Arnold Franklin
Marian Ainslee,Marian Conklin
Ruth Cummings, Not Found
Hanns Kräly, Not Found
Richard Schayer, Not Found
Conrad A. Nervig,Conrad Albinus Nervig
John Isaacs, Not Found
Deborah Loomis, Not Found
Taina Elg, Not Found
Zalman King,Zalman King Lefkowitz
Patricia Louisianna Knop, Not Found
Willi Bär, Not Found
Helena Kallianiotes, Not Found
Ed Begley Jr.,Edward James Begley Jr.
Evelyn Döhring, Not Found
John David Carson,John Franklin Carson
Nancy Fish,Nancy Gayle Fisch
Jonathan Kaplan, Not Found
Kay Lenz,Kay Ann Lenz
Bobby Van,Robert Jack Stein
Lennie Loftin, Not Found
Matt McCoy, Not Found
Regina Russell Banali, Not Found
Jerome Chen, Not Found
Jacqueline Lopez, Not Found
Peter M. Tobyansen, Not Found
Randy Thom, Not Found
Debbie Denise, Not Found
Ken Ralston, Not Found
Sean Phillips, Not Found
Martin A. Kline, Not Found
Carin-Anne Strohmaier, Not Found
Shay Duffin, Not Found
Jacquie Barnbrook, Not Found
Beau Starr,Beau William Starr Jr.
Steven J. Boyd, Not Found
Scot Boland, Not Found
Eddie Deezen,Edward Harry Dezen
Grant Thompson, Not Found
Carol Joffe, Not Found
Dhia Cristiani, Not Found
Elio Marcuzzo, Not Found
Michele Riccardini, Not Found
Juan de Landa,Juan Pisón Pagoaga y Landa
Lamberto Maggiorani, Not Found
Enzo Staiola, Not Found
Lianella Carell, Not Found
Carlo Jachino, Not Found
Giulio Chiari, Not Found
Ron Jeremy,Ronald Jeremy Hyatt
Jay Acovone,John Joseph Iacovone
John Enos III, Not Found
Kika Markham, Not Found
Don Henderson,Donald Francis Henderson
Beryl Reid,Beryl Elizabeth Reid
Gavin Muir,Gaven Muir
Emily Joyce,Emily Sian Joyce
John Balamos, Not Found
Leo Lebowitz, Not Found
Aaron Osborne,Aaron M. Osborne
Ty Olsson,Tyler Olsson
Amber Smith,Amber Lee Smith
Steve Antin,Steven Howard Antin
Shashawnee Hall,Shashawnee E. Hall
John Meillon, Not Found
Herman Melville, Not Found
Umberto Paolo Quintavalle,Uberto Paolo Quintavalle
Sergio Fascetti, Not Found
Bruno Musso, Not Found
Franco Merli, Not Found
Rinaldo Missaglia, Not Found
Giuseppe Patruno, Not Found
Guido Galletti, Not Found
Efisio Etzi, Not Found
Claudio Troccoli, Not Found
Fabrizio Menichini, Not Found
Maurizio Valaguzza, Not Found
Ezio Manni, Not Found
Elsa De Giorgi,Elsa Giorgi Alberti
Erika Anderson,Erika Marie Anderson
Stephen Schwartz, Not Found
Jacqueline Lovell,Jacqueline Marie Pugh
Martin Donovan,Martin Paul Smith
Paul Hitchcock, Not Found
Thomas Rosales Jr., Not Found
Vincent Franklin,Vincent Warren Franklin
Doug Langdale, Not Found
Deane Taylor, Not Found
Clement von Franckenstein,Clement George Freiherr von und zu Franckenstein
Andy Dick,Andrew Roane Dick
Rob Paulsen,Robert Fredrick Paulsen III
Katya Berger, Not Found
Antje Traue, Not Found
Luciano Rossi, Not Found
Attilio Dottesio, Not Found
Conrad Coates, Not Found
Dakin Matthews,Melvin Richard Matthews
Jane Frazer, Not Found
Robert Folk, Not Found
Endre Hules, Not Found
John Patrick Amedori, Not Found
Linda Wang,Linda Hsien Wang
Chloe Webb, Not Found
Robert Sheckley, Not Found
Suzanne Roquette, Not Found
Charles Robinson, Not Found
Jan Kiesser, Not Found
Nonso Anozie, Not Found
Mina E. Mina, Not Found
Erik Henry, Not Found
Kenneth MacMillan, Not Found
Dora Bryan,Dora May Broadbent
Mirella D'Angelo, Not Found
Manolo Bolognini, Not Found
Franco Rossellini, Not Found
Luciano Puccini, Not Found
Marcella De Marchis, Not Found
Antonio Girasante, Not Found
Alberto De Stefanis, Not Found
Tatiana Casini Morigi, Not Found
Enzo Ocone, Not Found
Tom Wood, Not Found
Andreas Katsulas,Andrew Constantine Katsulas
Daniel Roebuck,Daniel James Roebuck
Jane Lynch,Jane Marie Lynch
Neil Flynn,Neil Richard Flynn
Roy Huggins,Roy Marshall Huggins
Maurice Thiriet, Not Found
Madeleine Bonin, Not Found
Robert Mandel, Not Found
Seth Holt,James Aubrey G. B. Holt
Tristram Cary,Tristram Ogilvie Cary
Danny Green, Not Found
Sidney Hayers, Not Found
Peggy Mount,Margaret Rose Mount
Charles Dennis, Not Found
Brian West, Not Found
Pamela Stephenson,Pamela Helen Stephenson
Georges Pellegrin, Not Found
Eugène Lépicier, Not Found
Monique Bonnot, Not Found
Yolande Maurette, Not Found
Nathalie Delon,Francine Canovas
Cathy Rosier,Catherine Léro
Frederick De Cordova,Frederick Timmins De Cordova
Tom Ewell,Samuel Yewell Tompkins
Harold Vermilyea, Not Found
Richard Reeves,Richard Jourdan Reeves
Herbert Anderson, Not Found
Madge Blake, Not Found
Harris Brown, Not Found
Edward Clark, Not Found
Elizabeth Flournoy,Elizabeth Edwards
Otis Thayer, Not Found
Violet Mersereau, Not Found
Edmund Cobb,Edmund Fessenden Cobb
Mary Roberts Rinehart,Mary Ella Roberts
John Harron,John Thomas Harron
Helen Ferguson, Not Found
Helen Foster, Not Found
Ryan Hurst,Ryan Douglas Hurst
Gordon Westcott,Myrthus Hickman
Lavelle Roby, Not Found
Fu-Ling Wang, Not Found
Michael Sloan, Not Found
Darren Moore, Not Found
Adrien Dorval, Not Found
John Mahon,John Patrick Mahon
Michael Rauch,Michael Jay Rauch
Bob Hannah, Not Found
Paul Jennings, Not Found
Michio Takahashi, Not Found
Jasmine Chasney, Not Found
Anne Sarraute, Not Found
Stella Dassas, Not Found
Pierre Barbaud, Not Found
Michael Miner, Not Found
Sol Negrin, Not Found
Nancy Allen,Nancy Anne Allen
Felton Perry, Not Found
Jesse D. Goins, Not Found
Deborah Zeitman, Not Found
Justine Jacoby, Not Found
Julie Selzer, Not Found
Belinda Bauer,Belinda Jane Taubman
Mario Machado, Not Found
Leeza Gibbons,Leeza Kim Gibbons
John Ingle,John Houston Ingle
Roger Aaron Brown, Not Found
Gabriel Damon,Gabriel Damon Lavezzi
S.D. Nemeth, Not Found
Ken Kaufman, Not Found
Charlotte Rampling,Charlotte Tessa Rampling
Richard Fitzpatrick, Not Found
Milena Vukotic, Not Found
Maria Gabriella Maione, Not Found
Georges Douking,Georges Ladoubee
Anne-Marie Deschodt, Not Found
Adriana Asti, Not Found
Hélène Perdrière, Not Found
Pierre-François Pistorio, Not Found
Simon J. Smith, Not Found
Nick Fletcher, Not Found
Kevin Andrus, Not Found
Larry King,Lawrence Harvey Zeiger
Blu Mankuma, Not Found
Hrant Alianak, Not Found
Gregory Scott Cummins, Not Found
Lori Hallier, Not Found
Jeremy Ratchford, Not Found
Nigel Bennett, Not Found
Charles Perrault, Not Found
John Rubinstein,John Arthur Rubinstein
Rosemary Dunsmore, Not Found
Cliff De Young,Clifford Tobin DeYoung
Hans von Borsody,Hans Eduard Herbert von Borsody
Skip Martin,Derek George Horowitz
Fred Williams,Friedrich Wilhelm Löcherer
André Thorent, Not Found
Peter Cellier,Peter F. Cellier
Elisa Mainardi, Not Found
Elisa Montés,Elisa Ruiz Penella
Véronique Vendell,Claude Marie Rose Duraffourd
Ellen Umlauf, Not Found
Rosl Mayr,Rosa Mayr
Robert Graf, Not Found
Tina Chen, Not Found
Hubert Saint-Macary, Not Found
David Chudnow, Not Found
John F. Link Sr., Not Found
Bob Schott,Robert Schott
Christopher Ball, Not Found
William Tyrer, Not Found
Brendan Donnison, Not Found
Ken Duken, Not Found
Herb Robins,Herb Rabinowitz
Dal McKennon,Raymond Dallas McKennon Jr.
Henry Darrow,Enrique Tomás Delgado
Marc Gilpin, Not Found
Lee Montgomery,Elliott Harcourt Montgomery
Fred Baratta, Not Found
Anouska Hempel,Ann Geissler
Thomas Baptiste,Frederick Eustance Thomas Anthony Baptiste
Anthony Sharp,Dennis Anthony John Sharp
Eva Gabor, Not Found
Zsa Zsa Gabor,Sári Gábor
Cameron Mitchell,Cameron McDowell Mitzell
Donald A. Davis, Not Found
Forrest J. Ackerman,Forrest James Ackerman
Edward D. Wood Jr.,Edward Davis Wood Jr.
William Lustig, Not Found
Art LaFleur, Not Found
Louie Anderson,Louie Perry Anderson
Franklyn Ajaye, Not Found
Carole White, Not Found
Cassandra Peterson, Not Found
James B. Campbell,James Bartlett Campbell
Lee McLaughlin, Not Found
Ira Heiden,Ira Mathew Heiden
Mark Holton,Mark Douglas Holton
Judd Omen, Not Found
Starletta DuPois, Not Found
Monte Landis,Max Landstein
Gene Kirkwood, Not Found
Maurice Murphy,Maurice Meehan Murphy
Richard Carter, Not Found
Henry De Vere Stacpoole, Not Found
Jeffrey Kleiser, Not Found
Gus Mercurio,Augustino Eugenio Mercurio
Howard Duff,Howard Green Duff
Steve Reinhardt, Not Found
Franco Citti, Not Found
Tom Baker,Thomas Stewart Baker
Edwin S. Porter,Edwin Stratton Porter
Scott Marble, Not Found
Blair Smith,James Blair Smith
Justus D. Barnes, Not Found
Walter Cameron, Not Found
Nathan Juran,Naftuli Hertz Juran
Gilbert M. 'Broncho Billy' Anderson,Maxwell Henry Aronson
George Maharis,George Maharias
Arlene Dahl,Arlene Carol Dahl
Guy Rolfe,Arthur Edwin Rolfe
Jim Staahl, Not Found
Bill Tung, Not Found
Lamberto Bava, Not Found
Dardano Sacchetti, Not Found
Massimo Lentini, Not Found
Daria Nicolodi, Not Found
Carlo Reali, Not Found
Valeria Sabel, Not Found
Sergio Canevari, Not Found
Marshall Harvey, Not Found
Monique Gabrielle,Katherine Gonzalez
Steve Forrest,William Forrest Andrews
B.B. King,Riley B. King
Piero Lulli, Not Found
Andrea Checchi, Not Found
Andrew Hulme, Not Found
George Costello, Not Found
David Collins, Not Found
Henry Rowland,Wolfram von Bock
Le Vicomte de Noailles,Charles de Noailles
John Jarratt, Not Found
Steve Bisley, Not Found
Joe Bugner,József Kreul Bugner
Frank McDonald, Not Found
Kirk Alyn,John Feggo Jr.
Carroll Borland, Not Found
Aldo Ray,Aldo DaRe
Howard Douglas,Douglas Howard Gray Richardson
Theodore Marcuse,Theodore Carroll Marcuse
Albert Zugsmith, Not Found
Christiane Schmidtmer,Christel Schmidtmer
Fred Mandl, Not Found
Wayne Maunder,Wayne Ernest Maunder
Marianne McAndrew, Not Found
Philip Carey,Eugene Joseph Carey
Ken Swofford,Kenneth Charles Swofford
Chris Tashima, Not Found
Sam Phillips,Leslie Ann Phillips
Troy Donahue,Merle Johnson Jr.
Ty Hardin,Orison Whipple Hungerford Jr.
Sandahl Bergman, Not Found
Turhan Bey,Turhan Gilbert Selahattin Sahultavy
Cynthia Szigeti,Cynthia Carol Szigeti
William Katt,William Theodore Katt
George Erschbamer, Not Found
Alex Green, Not Found
Gerry O'Hara, Not Found
Ulrich Picard, Not Found
Eleanor Bron, Not Found
Gabrielle Middleton, Not Found
Judy Cornwell,Judy Valerie Cornwell
Irène Hilda,Irène Hilda Levitt
Dominique Joos, Not Found
Clarissa Hillel, Not Found
Henry Fielding, Not Found
Angela Aames,Lois Marie Tlustos
Edith Evans,Edith Mary Evans
